AS-1	Bûrat
LE-44	Troll Lout
LE-45	Troll-chief
LE-46	Tros Hesnef
LE-47	Uchel
LE-49	Ulkaur the Tongueless
LE-50	Adûnaphel the Ringwraith
LE-51	Akhôrahil the Ringwraith
LE-52	Dwar the Ringwraith
LE-53	Hoarmûrath the Ringwraith
LE-54	Indûr the Ringwraith
LE-55	Khamûl the Ringwraith
LE-56	Ren the Ringwraith
LE-57	Ûvatha the Ringwraith
LE-58	The Witch-king
LE-59	Ambusher
LE-60	Arthadan Rangers
LE-62	Beorning Toll
LE-63	The Border-watch
LE-64	Brigands
LE-65	Cave Worm
LE-66	Cave-drake
LE-68	Dire Wolves
LE-69	Elf-lord Revealed in Wrath
LE-70	Elves upon Errantry
LE-71	Ent in Search of the Entwives
LE-73	Ghouls
LE-76	Gondorian Rangers
LE-80	Land-drake
LE-82	Lawless Men
LE-83	Lesser Spiders
LE-84	Marsh-drake
LE-85	Orc-raiders
LE-86	Orc-warband
LE-87	Orc-watch
LE-88	Pirates
LE-89	Sellswords Between Charters
LE-90	Slayer
LE-91	Sons of Kings
LE-92	Stirring Bones
LE-93	Thranduil’s Folk
LE-94	Thunder’s Companion
LE-95	True Fire-drake
LE-96	Uruk-lieutenant
LE-97	Wandering Eldar
LE-100	Wild Trolls
LE-101	Arouse Defenders
LE-102	Arouse Denizens
LE-103	Awaken Defenders
LE-104	Awaken Denizens
LE-105	Call of Home
LE-106	Chill Them with Fear
LE-107	Covetous Thoughts
LE-108	Darkness Under Tree
LE-109	Despair of the Heart
LE-112	Foolish Words
LE-113	Greed
LE-114	Heedless Revelry
LE-115	Incite Defenders
LE-116	Incite Denizens
LE-118	Lost in Border-lands
LE-119	Lost in Free-domains
LE-120	Lost in Shadow-lands
LE-121	Lost in the Wilderness
LE-122	Lure of Expedience
LE-123	Lure of Nature
LE-124	Lure of the Senses
LE-125	Minions Stir
LE-126	Muster Disperses
LE-127	News of Doom
LE-128	Nothing to Eat or Drink
LE-130	Plague of Wights
LE-131	Rats!
LE-132	Rebel-talk
LE-133	The Ring Will Have But One Master
LE-135	The Roving Eye
LE-136	Searching Eye
LE-137	Shut Yer Mouth
LE-138	So You’ve Come Back
LE-139	Something Has Slipped
LE-140	Stay Her Appetite
LE-141	Stench of Mordor
LE-142	Thrice Outnumbered
LE-143	Tidings of Bold Spies
LE-144	Tidings of Doubt and Danger
LE-146	Veils Flung Away
LE-147	Waiting Shadow
LE-148	Wake of War
LE-149	Weariness of the Heart
LE-150	Webs of Fear & Treachery
LE-151	Wrath of the West
LE-152	Blackbole
LE-153	Last Child of Ungoliant
LE-155	“Two-headed” Troll
LE-156	War-warg
LE-157	War-wolf
LE-158	The Warg-king
LE-159	A Malady Without Healing
LE-160	A Nice Place to Hide
LE-161	Adûnaphel Unleashed
LE-162	Akhôrahil Unleashed
LE-163	All Thought Bent upon It
LE-164	An Untimely Whisper
LE-165	Awaiting the Call
LE-166	Back to the Fray
LE-167	Bade to Rule
LE-168	Bitter Cold
LE-169	Black Rain
LE-171	Blow Turned
LE-172	Bold Thrust
LE-173	Burning Rick, Cot, and Tree
LE-174	By the Ringwraith’s Word
LE-175	Catch an Elusive Scent
LE-176	Come By Night Upon Them
LE-177	Crack in the Wall
LE-178	Crooked Promptings
LE-179	Deeper Shadow
LE-180	Diversion
LE-181	Down Down to Goblin-town
LE-182	Dwar Unleashed
LE-183	Fell Rider
LE-184	Focus Palantír
LE-185	Forced March
LE-186	Foul Trophies
LE-187	Freeze the Flesh
LE-188	Gifts as Given of Old
LE-189	Gold Chains in the Wind
LE-190	Heralded Lord
LE-191	Hidden Ways
LE-192	Hide in Dark Places
LE-193	Hoarmûrath Unleashed
LE-194	Honey on the Tongue
LE-195	I’ll Be At Your Heels
LE-196	I’ll Report You
LE-197	In the Name of Mordor
LE-198	Indûr Unleashed
LE-199	Iron-road
LE-200	Khamûl Unleashed
LE-201	Kill All But NOT the Halflings
LE-202	Leg It Double Quick
LE-203	The Lidless Eye
LE-204	Messenger of Mordor
LE-206	Motionless Among the Slain
LE-207	The Names Among Them
LE-208	News Must Get Trough
LE-209	News of the Shire
LE-210	No More Nonsense
LE-211	No News of Our Riding
LE-212	Not Slay Needlessly
LE-213	Old Cache
LE-214	Old Prejudice
LE-215	One Dear to You
LE-216	Orc Quarrels
LE-217	Orc Stealth
LE-218	Orc-mounts
LE-219	Poisonous Despair
LE-220	Ready to His Will
LE-221	Remnants of Old Robberies
LE-222	Ren Unleashed
LE-223	The Ring Leaves Its Mark
LE-224	Rumor of the One
LE-225	Ruse
LE-226	Secrets of Their Forging
LE-227	Seize Prisoners
LE-228	Skies of Fire
LE-229	Smart and Secret
LE-230	Smoke on the Wind
LE-231	Sneakin’
LE-232	Some Secret Art of Flame
LE-233	Spying out the Land
LE-234	Stabbed Him in His Sleep
LE-235	Sudden Call
LE-236	Swag
LE-237	Swarm of Bats
LE-238	Swift Strokes
LE-239	Test of Fire
LE-240	That Ain’t No Secret
LE-241	That’s Been Heard Before Tonight
LE-242	They Ride Together
LE-243	Thing Stolen
LE-244	Threats
LE-245	Tidings of Death
LE-246	To Satisfy the Questioner
LE-247	Under His Blow
LE-248	Ûvatha Unleashed
LE-249	Veils of Shadow
LE-250	Voices of Malice
LE-251	The Water’s Tithe
LE-252	We Have Come to Kill
LE-253	Weigh All Things to a Nicety
LE-254	Where There’s a Whip
LE-255	While the Yellow Face Sleeps
LE-256	Wisdom to Wield
LE-257	The Witch-king Unleashed
LE-258	Words of Menace and Deceit
LE-259	Agburanar Roused
LE-262	Black Trolls
LE-265	Goblins of Goblin-gate
LE-266	Grey Mountain Goblins
LE-270	Ice-orcs
LE-271	Men of Dorwinion
LE-272	Misty Mountain Wargs
LE-273	Nûrniags
LE-274	Orcs of Angmar
LE-275	Orcs of Gorgoroth
LE-276	Orcs of Gundabad
LE-277	Orcs of Mirkwood
LE-278	Orcs of Moria
LE-279	Orcs of the Ash Mountains
LE-280	Orcs of the Ephel Dúath
LE-281	Orcs of the Red Eye
LE-282	Orcs of Udûn
LE-283	Scatha Roused
LE-284	Scorba Roused
LE-285	Smaug Roused
LE-286	Snaga-hai
LE-289	Umbarean Corsairs
LE-290	Ungol-orcs
LE-292	Variags of Khand
LE-293	Wargs of the Forochel
LE-294	White Mountain Wolves
LE-296	Woses of the Eryn Vorn
LE-297	A Little Gold Ring
LE-298	Binding-ring
LE-299	Black Mace
LE-300	Black-hide Shield
LE-301	Black-mail Coat
LE-302	Blazon of the Eye
LE-303	Bright Gold Ring
LE-304	Broad-headed Spear
LE-305	Dwarven Ring of Barin’s Tribe
LE-306	Dwarven Ring of Bávor’s Tribe
LE-307	Dwarven Ring of Drúin’s Tribe
LE-308	Dwarven Ring of Durin’s Tribe
LE-309	Dwarven Ring of Dwálin’s Tribe
LE-310	Foul-smelling Paste
LE-311	Gleaming Gold Ring
LE-312	Gold Ring that Sauron Fancies
LE-313	High Helm
LE-314	The Iron Crown
LE-315	The Least of Gold Rings
LE-316	Magic Ring of Delusion
LE-317	Magic Ring of Enigma
LE-318	Magic Ring of Fury
LE-319	Magic Ring of Guile
LE-320	Magic Ring of Lies
LE-321	Magic Ring of Savagery
LE-322	Magic Ring of Shadows
LE-323	Magic Ring of Weals
LE-324	Minor Ring
LE-325	The Mithril-coat
LE-327	The Oracle’s Ring
LE-328	Orc-draughts
LE-329	Orc-liquor
LE-331	Palantír of Annúminas
LE-332	Palantír of Elostirion
LE-333	Palantír of Minas Tirith
LE-335	Palantír of Osgiliath
LE-336	Paltry Ring
LE-337	Perfect Gold Ring
LE-338	Poison
LE-340	The Reviled Ring
LE-341	Sable Shield
LE-342	Saw-toothed Blade
LE-344	Shadow-cloak
LE-345	Strange Rations
LE-346	Trifling Ring
LE-347	The Warding Ring
LE-348	Whip
LE-351	Bandit Lair
LE-354	Beorn’s House
LE-355	Blue Mountain Dwarf-hold
LE-357	Buhr Widu
LE-358	Cameth Brin
LE-360	Caves of Ûlund
LE-370	Dunnish Clan-hold
LE-371	Easterling Camp
LE-374	Geann a-Lisch
LE-377	Gobel Mírlond
LE-379	Gondmaeglom
LE-382	Hermit’s Hill
LE-383	Iron Hill Dwarf-hold
LE-386	Lond Galen
LE-388	Lossadan Cairn
LE-389	Lossadan Camp
LE-396	Nûrniag Camp
LE-399	Raider-hold
LE-400	Ruined Signal Tower
LE-401	Sarn Goriwing
LE-402	Shelob’s Lair
LE-403	Shrel-Kain
LE-404	Southron Oasis
LE-405	Stone-circle
LE-406	The Stones
LE-408	Thranduil’s Halls
LE-409	Urlurtsu Nurn
LE-410	Vale of Erech
LE-411	Variag Camp
LE-412	The White Towers
LE-413	The Wind Throne
LE-414	Woodmen-town
LE-415	The Worthy Hills
LE-416	Wose Passage-hold
LE-417	Zarak Dûm
LE-418	The Arkenstone
LE-419	Deadly Dart
TD-1	Agburanar Ahunt
TD-2	Agburanar at Home
TD-4	Bairanax Ahunt
TD-5	Bairanax at Home
TD-7	Carrion Birds
TD-8	Cave Worm
TD-9	Cruel Caradhras
TD-10	Daelomin Ahunt
TD-11	Daelomin at Home
TD-12	Deftness of Agility
TD-13	Dire Wolves
TD-14	Dragon’s Blood
TD-15	Dragon’s Breath
TD-16	Dragon’s Curse
TD-17	Dragon’s Terror
TD-18	Dragon-sickness
TD-19	Dunlending Raiders
TD-20	Eärcaraxë
TD-21	Eärcaraxë Ahunt
TD-22	Eärcaraxë at Home
TD-23	Exile of Solitude
TD-24	Fever of Unrest
TD-25	Foolish Words
TD-26	Frenzy of Madness
TD-27	From the Pits of Angband
TD-29	Half an Eye Open
TD-31	Host of Bats
TD-32	Ice-drake
TD-33	Icy Touch
TD-34	Incite Denizens
TD-35	Incite Minions
TD-37	Itangast Ahunt
TD-38	Itangast at Home
TD-39	Known to an Ounce
TD-40	Land-drake
TD-41	Left Behind
TD-42	Lesser Spiders
TD-43	Leucaruth Ahunt
TD-44	Leucaruth at Home
TD-45	Light-drake
TD-46	Many Sorrows Befall
TD-47	Marsh-drake
TD-48	Memories Stolen
TD-49	Morgul-rats
TD-50	No Escape from My Magic
TD-51	Noose of the Sea
TD-52	Parsimony of Seclusion
TD-53	Passion of Wrath
TD-54	Peril Returned
TD-55	Prowess of Age
TD-56	Prowess of Might
TD-57	Rain-drake
TD-58	Rumor of Wealth
TD-59	Sand-drake
TD-61	Scatha Ahunt
TD-62	Scatha at Home
TD-63	Scorba
TD-64	Scorba Ahunt
TD-65	Scorba at Home
TD-66	Sea Serpent
TD-67	Searching Eye
TD-69	Sleepless Malice
TD-70	Smaug Ahunt
TD-71	Smaug at Home
TD-72	Song of the Lady
TD-74	Subtlety of Guile
TD-75	Thunder’s Companion
TD-76	Times Are Evil
TD-77	True Cold-drake
TD-78	True Fire-drake
TD-79	Velocity of Haste
TD-81	Wild Fell Beast
TD-82	Winds of Wrath
TD-83	Winged Cold-drake
TD-84	Winged Fire-drake
TD-85	Withered Lands
TD-88	Worm’s Stench
TD-89	Worn and Famished
TD-91	Fram Framson
TD-96	Adamant Helmet
TD-97	Alert the Folk
TD-98	And Forth He Hastened
TD-99	Arrows Shorn of Ebony
TD-101	Bounty of the Hoard
TD-102	Bow of Dragon-horn
TD-103	Burglary
TD-104	Cloudless Day
TD-106	Dragon’s Hunger
TD-107	Dragon-feuds
TD-108	Dragon-lore
TD-109	Dwarven Hoard
TD-110	Echo of all Joy
TD-112	Emerald of Doriath
TD-113	Emerald of the Mariner
TD-114	Enruned Shield
TD-115	Fast Asleep
TD-116	Flatter a Foe
TD-118	Gift of Comprehension
TD-119	Gold Belt of Lórien
TD-120	Habergeon of Silver
TD-122	Helm of Her Secrecy
TD-123	Here, There, or Yonder
TD-124	Hey! come merry dol!
TD-127	Legendary Hoard
TD-128	Look More Closely Later
TD-129	Lore of the Ages
TD-130	Magical Harp
TD-131	Many Foes He Fought
TD-132	Many Turns and Doublings
TD-133	Map to Mithril
TD-134	Marvels Told
TD-135	Master of Esgaroth
TD-136	Master of Wood, Water, or Hill
TD-137	Mathom Lore
TD-139	Men of Lake-town
TD-140	More Sense than You
TD-141	Necklace of Silver and Pearls
TD-142	Nenseldë the Wingild
TD-144	Pledge of Conduct
TD-145	Refuge
TD-146	Returned Exiles
TD-148	Riddling Talk
TD-149	Sated Beast
TD-150	Scabbard of Chalcedony
TD-151	Secret News
TD-153	Staff Asunder
TD-154	Star of High Hope
TD-155	Tales of the Hunt
TD-156	The Riddle Game
TD-157	Three Golden Hairs
TD-158	Thrór’s Map
TD-159	Trickery
TD-160	Twice-baked Cakes
TD-161	Valiant Sword
TD-162	Vanish in Sunlight!
TD-163	Warm Now Be Heart and Limb
TD-164	Washed and Refreshed
TD-166	When I Know Anything
TD-167	Wielded Twice
TD-168	Wit
TD-169	Wizard Uncloaked
TD-170	Wizard’s Staff
TD-171	Wondrous Maps
TD-172	Wormsbane
TD-173	Buhr Widu
TD-176	Gold Hill
TD-177	Gondmaeglom
TD-178	Isle of the Ulond
TD-179	Ovir Hollow
TD-181	Zarak Dûm
TD-182	Ireful Flames
TD-183	Horn of Defiance
TD-185	Belegennon
TW-1	Abductor
TW-3	Agburanar
TW-5	Ambusher
TW-6	Arouse Denizens
TW-7	Arouse Minions
TW-8	Assassin
TW-9	Awaken Denizens
TW-10	Awaken Minions
TW-11	Awaken the Earth’s Fire
TW-13	Bane of the Ithil-stone
TW-16	“Bert” (Bûrat)
TW-17	Brigands
TW-18	Call of Home
TW-19	Call of the Sea
TW-20	Cave-drake
TW-21	Choking Shadows
TW-22	Clouds
TW-26	Daelomin
TW-27	Despair of the Heart
TW-29	Dragon’s Desolation
TW-30	Drowning Seas
TW-34	Fell Turtle
TW-36	Foul Fumes
TW-38	Ghouls
TW-41	Gloom
TW-42	Greed
TW-43	Half-trolls of Far Harad
TW-46	Indûr Dawndeath
TW-47	Khamûl the Easterling
TW-48	Leucaruth
TW-50	Lost at Sea
TW-51	Lost in Border-lands
TW-52	Lost in Dark-domains
TW-53	Lost in Free-domains
TW-54	Lost in Shadow-lands
TW-55	Lost in the Wilderness
TW-56	Lure of Creation
TW-57	Lure of Expedience
TW-58	Lure of Nature
TW-59	Lure of Power
TW-60	Lure of the Senses
TW-61	Minions Stir
TW-62	Morgul Night
TW-63	Morgul-horse
TW-66	Mûmak (Oliphant)
TW-67	Muster Disperses
TW-68	New Moon
TW-69	Night
TW-71	Olog-hai (Trolls)
TW-72	Orc-guard
TW-73	Orc-lieutenant
TW-74	Orc-patrol
TW-75	Orc-raiders
TW-76	Orc-warband
TW-77	Orc-warriors
TW-78	Orc-watch
TW-79	Pick-pocket
TW-80	Pick-pocket
TW-81	Plague of Wights
TW-82	Pûkel-men
TW-83	Ren the Unclean
TW-85	Rogrog
TW-87	Siege
TW-88	Silent Watcher
TW-89	Slayer
TW-91	Snowstorm
TW-92	Storms of Ossë
TW-93	The Balance of Things
TW-94	The Burden of Time
TW-95	The Great Goblin
TW-96	The Nazgûl are Abroad
TW-97	The Pale Sword
TW-99	The Ring’s Betrayal
TW-100	The Will of Sauron
TW-101	The Will of the Ring
TW-103	“Tom” (Tûma)
TW-104	Tookish Blood
TW-105	Traitor
TW-107	Ûvatha the Horseman
TW-108	Wake of War
TW-111	Weariness of the Heart
TW-112	“William” (Wûluag)
TW-115	Words of Power and Terror
TW-116	Adrazar
TW-119	Annalena
TW-121	Arinmîr
TW-124	Bard Bowman
TW-128	Beretar
TW-154	Galva
TW-161	Glorfindel II
TW-163	Haldalam
TW-176	Peath
TW-185	Vôteli
TW-186	Vygavril
TW-187	Wacho
TW-188	A Chance Meeting
TW-189	A Friend or Three
TW-190	Align Palantír
TW-191	Anduin River
TW-192	Andúril, the Flame of the West
TW-196	Beautiful Gold Ring
TW-199	Block
TW-200	Blue Mountain Dwarves
TW-202	Bridge
TW-203	Clear Skies
TW-204	Concealment
TW-207	Dark Quarrels
TW-208	Dark Quarrels
TW-209	Dodge
TW-210	Dreams of Lore
TW-212	Durin’s Axe
